INSTANCE; Z; TIME [s]
A173-P130-R5-B8-L5-T14-C0.1;134;12
A173-P130-R5-B8-L5-T14-C0.2;21;10
A173-P130-R5-B8-L5-T14-C0.3;36;11
A173-P130-R5-B9-L5-T14-C0.1;127;13
A173-P130-R5-B9-L5-T14-C0.2;26;15
A173-P130-R5-B9-L5-T14-C0.3;33;11
A173-P130-R6-B7-L5-T14-C0.1;5;17
A173-P130-R6-B7-L5-T14-C0.2;15;17
A173-P130-R6-B7-L5-T14-C0.3;5039;14
A173-P130-R6-B8-L4-T14-C0.1; INFEASIBLE;0
A173-P130-R6-B8-L4-T14-C0.2; INFEASIBLE;0
A173-P130-R6-B8-L4-T14-C0.3; INFEASIBLE;0
A173-P130-R6-B9-L4-T14-C0.1;175;12
A173-P130-R6-B9-L4-T14-C0.2;33;12
A173-P130-R6-B9-L4-T14-C0.3;61;12
A173-P130-R7-B6-L5-T14-C0.1;24;17
A173-P130-R7-B6-L5-T14-C0.2;31;18
A173-P130-R7-B6-L5-T14-C0.3;5014;19
A173-P130-R7-B7-L4-T14-C0.1; INFEASIBLE;0
A173-P130-R7-B7-L4-T14-C0.2; INFEASIBLE;0
A173-P130-R7-B7-L4-T14-C0.3; INFEASIBLE;0
A173-P130-R7-B8-L4-T14-C0.1;182;15
A173-P130-R7-B8-L4-T14-C0.2;28;17
A173-P130-R7-B8-L4-T14-C0.3;48;20
A173-P130-R8-B6-L4-T14-C0.1; INFEASIBLE;0
A173-P130-R8-B6-L4-T14-C0.2; INFEASIBLE;0
A173-P130-R8-B6-L4-T14-C0.3; INFEASIBLE;0
A173-P130-R8-B7-L4-T14-C0.1;8;19
A173-P130-R8-B7-L4-T14-C0.2;23;19
A173-P130-R8-B7-L4-T14-C0.3;8047;19
A173-P150-R5-B8-L5-T14-C0.1;17;11
A173-P150-R5-B8-L5-T14-C0.2;52;11
A173-P150-R5-B8-L5-T14-C0.3;15064;12
A173-P150-R5-B9-L5-T14-C0.1;35;12
A173-P150-R5-B9-L5-T14-C0.2;162;9
A173-P150-R5-B9-L5-T14-C0.3;10099;11
A173-P150-R6-B7-L5-T14-C0.1;37;18
A173-P150-R6-B7-L5-T14-C0.2;166;14
A173-P150-R6-B7-L5-T14-C0.3;10102;16
A173-P150-R6-B8-L4-T14-C0.1; INFEASIBLE;0
A173-P150-R6-B8-L4-T14-C0.2; INFEASIBLE;0
A173-P150-R6-B8-L4-T14-C0.3; INFEASIBLE;0
A173-P150-R6-B9-L4-T14-C0.1;32;13
A173-P150-R6-B9-L4-T14-C0.2;261;13
A173-P150-R6-B9-L4-T14-C0.3;8152;14
A173-P150-R7-B6-L5-T14-C0.1;15;17
A173-P150-R7-B6-L5-T14-C0.2;42;20
A173-P150-R7-B6-L5-T14-C0.3;10121;17
A173-P150-R7-B7-L4-T14-C0.1; INFEASIBLE;0
A173-P150-R7-B7-L4-T14-C0.2; INFEASIBLE;0
A173-P150-R7-B7-L4-T14-C0.3; INFEASIBLE;0
A173-P150-R7-B8-L4-T14-C0.1;36;16
A173-P150-R7-B8-L4-T14-C0.2;61;14
A173-P150-R7-B8-L4-T14-C0.3;12085;18
A173-P150-R8-B6-L4-T14-C0.1; INFEASIBLE;0
A173-P150-R8-B6-L4-T14-C0.2; INFEASIBLE;0
A173-P150-R8-B6-L4-T14-C0.3; INFEASIBLE;0
A173-P150-R8-B7-L4-T14-C0.1;31;22
A173-P150-R8-B7-L4-T14-C0.2;215;18
A173-P150-R8-B7-L4-T14-C0.3;8089;18
A173-P170-R5-B8-L5-T14-C0.1;40;11
A173-P170-R5-B8-L5-T14-C0.2;41;10
A173-P170-R5-B8-L5-T14-C0.3;10063;11
A173-P170-R5-B9-L5-T14-C0.1;66;10
A173-P170-R5-B9-L5-T14-C0.2;123;10
A173-P170-R5-B9-L5-T14-C0.3;91;11
A173-P170-R6-B7-L5-T14-C0.1;21;13
A173-P170-R6-B7-L5-T14-C0.2;52;13
A173-P170-R6-B7-L5-T14-C0.3;10032;14
A173-P170-R6-B8-L4-T14-C0.1; INFEASIBLE;0
A173-P170-R6-B8-L4-T14-C0.2; INFEASIBLE;0
A173-P170-R6-B8-L4-T14-C0.3; INFEASIBLE;0
A173-P170-R6-B9-L4-T14-C0.1;76;12
A173-P170-R6-B9-L4-T14-C0.2;175;12
A173-P170-R6-B9-L4-T14-C0.3;139;14
A173-P170-R7-B6-L5-T14-C0.1;119;17
A173-P170-R7-B6-L5-T14-C0.2;30;18
A173-P170-R7-B6-L5-T14-C0.3;5043;17
A173-P170-R7-B7-L4-T14-C0.1; INFEASIBLE;0
A173-P170-R7-B7-L4-T14-C0.2; INFEASIBLE;0
A173-P170-R7-B7-L4-T14-C0.3; INFEASIBLE;0
A173-P170-R7-B8-L4-T14-C0.1;35;15
A173-P170-R7-B8-L4-T14-C0.2;60;18
A173-P170-R7-B8-L4-T14-C0.3;8048;19
A173-P170-R8-B6-L4-T14-C0.1; INFEASIBLE;0
A173-P170-R8-B6-L4-T14-C0.2; INFEASIBLE;0
A173-P170-R8-B6-L4-T14-C0.3; INFEASIBLE;0
A173-P170-R8-B7-L4-T14-C0.1;28;21
A173-P170-R8-B7-L4-T14-C0.2;75;20
A173-P170-R8-B7-L4-T14-C0.3;8024;19
